"state","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"ND","ngtb_X1","existing","ngtb","no",2020,1.368932,4.79192363522934,6.55981760582177,0.6016,11.047459066506,6.64615137441,13.2059689802318,29.34733352
"ND","ngtb_X3","existing","ngtb","no",2020,0.001175,4.79192363535489,0.005630510271542,0.1402,12.968305710271,1.81815646058,1.82378697085154,29.34733352
"ND","wnd_X","existing","wnd","yes",2020,11.21302461,0,0,3.5347,47.6538110148244,168.4419257941,168.4419257941,29.34733352
"NE","col_X1","existing","col","no",2020,0.026882,3.21158773789153,0.08633390157,0.0079,42.9796243924051,0.3395390327,0.42587293427,29.34733352
"NE","col_X2","existing","col","no",2020,17.8246610194,7.62166717264577,135.853633755099,3.6646,46.1561241999127,169.143732743,304.997366498099,29.34733352
"NE","col_X3","existing","col","no",2020,2.69124100601,7.62205891870829,20.512797512252,0.7493,100.19946125708,75.07945631993,95.592253832182,29.34733352
"NE","hyd_X","existing","hyd","yes",2020,1.340252,0,0,0.3297,92.6869600348802,30.5588907235,30.5588907235,29.34733352
"NE","ngcc_X1","existing","ngcc","no",2020,0.691187,2.26654802962151,1.56660853295,0.3963,12.6692811355085,5.020836114002,6.587444646952,29.34733352
"NE","ngtb_X1","existing","ngtb","no",2020,0.151074004,4.7878769508793,0.723323741628647,0.1736,20.6357578891705,3.58236756956,4.30569131118865,29.34733352
"NE","ngtb_X2","existing","ngtb","no",2020,0.255953,4.85930238477006,1.24375302328905,0.6088,15.2671374472125,9.294633277863,10.538386301152,29.34733352
"NE","ngtb_X3","existing","ngtb","no",2020,0.121967,4.68046028655187,0.570861699769872,1.0408,17.0065722432331,17.700440390757,18.2713020905269,29.34733352
"NE","nuc_X","existing","nuc","yes",2020,6.9516,2.55696031417228,17.77496532,0.801,131.239238451935,105.12263,122.89759532,29.34733352
"NE","slr_X","existing","slr","yes",2020,0.031706,0,0,0.0269,18.7685249910781,0.50487332226,0.50487332226,29.34733352
"NE","wnd_X","existing","wnd","yes",2020,7.2110924,0,0,2.1781,47.6538110151095,103.79476577201,103.79476577201,29.2411495288281
"NH","bio_X","existing","bio","yes",2020,1.08102095,5.61007134052305,6.0646046501,0.3274,137.058856597434,44.87306965,50.9376743001,37.63620393
